title,budget,runtime,Budget_Per_Minute
キュア,20000,111,180
"Deadline - U.S.A.",0,87,0
"Light Sleeper",5000000,103,48544
Flipper,25530000,95,268737
After.Life,4500000,104,43269
"Yesterday Was a Lie",0,89,0
"Casino Royale",150000000,144,1041667
"Interview with the Assassin",500000,88,5682
"Blade II",54000000,117,461538
"The Naked Gun 33⅓: The Final Insult",30000000,83,361446
"Wuthering Heights",0,142,0
"The World Is Not Enough",135000000,128,1054688
Blade,45000000,120,375000
"Blade: Trinity",65000000,123,528455
X-Men,75000000,104,721154
X2,110000000,133,827068
"X-Men: The Last Stand",210000000,104,2019231
"Die Another Day",140000000,133,1052632
"Never Say Never Again",36000000,134,268657
"Solitary Man",15000000,90,166667
"Белка и Стрелка. Звёздные собаки",25000000,85,294118
"School Daze",0,121,0
"The Last Station",0,112,0
"Time Bandits",5000000,116,43103
"The R.M.",0,101,0
"True Lies",115000000,141,815603
Oceans,0,84,0
"U2 3D",15000000,85,176471
"The Magic Flute",0,133,0
"Letters to Juliet",30000000,105,285714
"Mother and Child",7000000,125,56000
"The Naked Gun 2½: The Smell of Fear",23000000,85,270588
"The Truman Show",60000000,103,582524
"A Shine of Rainbows",6000000,101,59406
"Travellers and Magicians",0,108,0
"The Firm",42000000,154,272727
"The Killer Inside Me",13000000,109,119266
"Four Lions",967686,101,9581
"Knock Off",33000000,91,362637
Slam,1,100,0
"Super 8",50000000,112,446429
Proud,0,87,0
Splice,26000000,104,250000
"The Tourist",100000000,103,970874
"The Muse",0,97,0
Skyfall,200000000,143,1398601
"Easy A",8000000,92,86957
Kites,0,131,0
"Sex and the City 2",100000000,146,684932
"The Social Network",40000000,120,333333
Killers,75000000,100,750000
"Knight and Day",117000000,109,1073394
"Les herbes folles",0,104,0
"Das weisse Band",15238800,144,105825
MacGruber,10000000,90,111111
"Charlie St. Cloud",44000000,99,444444
Immortals,75000000,110,681818
"Brown Sugar",8000000,109,73394
"The Trials Of Darryl Hunt",0,106,0
"Ira & Abby",0,104,0
"You Will Meet a Tall Dark Stranger",22000000,98,224490
"Chain Letter",0,96,0
"The Adjustment Bureau",50200000,106,473585
Megamind,130000000,95,1368421
"Going the Distance",32000000,102,313725
"Just Wright",0,100,0
Beastly,17000000,86,197674
"Shadow Conspiracy",45000000,103,436893
"Eat Pray Love",60000000,133,451128
"Harriet the Spy",12000000,100,120000
"You Again",20000000,105,190476
Zookeeper,80000000,102,784314
"Your Highness",49900000,102,489216
Priest,60000000,87,689655
"Big Mommas: Like Father, Like Son",32000000,107,299065
"Transformers: Dark of the Moon",195000000,154,1266234
"Morning Glory",40000000,102,392157
"The Last Exorcism",1800000,87,20690
"Fair Game",22000000,108,203704
"Grown Ups",80000000,102,784314
"Bran Nue Dae",7,82,0
"Gandhi, My Father",0,136,0
Ondine,12000000,111,108108
"The Divide",3000000,112,26786
Ironclad,25000000,121,206612
"The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It",0,82,0
Marmaduke,50000000,87,574713
"The Legend of the Lone Ranger",18000000,98,183673
Madison,0,99,0
"Gulliver's Travels",112000000,85,1317647
Tangled,260000000,100,2600000
"Dinner for Schmucks",69000000,114,605263
Rampage,0,85,0
"The Blood of My Brother: A Story of Death in Iraq",0,90,0
Κυνόδοντας,0,94,0
"Ramona and Beezus",0,103,0
"Men of War",0,103,0
"Ricordati di me",0,125,0
Sorcerer,22000000,121,181818
"Winter's Bone",2000000,100,20000
"The Good Guy",3200000,90,35556
Cyrus,7000000,91,76923
"Free Style",0,94,0
Tadpole,150000,78,1923
"See Spot Run",0,94,0
"Once in a Lifetime: The Extraordinary Story of the New York Cosmos",1000000,97,10309
Shalako,1455000,113,12876
Somewhere,8000000,98,81633
"Real Steel",110000000,127,866142
"Out of the Blue",0,94,0
2:13,3500000,96,36458
"Sugar Hill",0,123,0
Beloved,0,172,0
"Little Fockers",100000000,98,1020408
Secretariat,35000000,123,284553
Paul,40000000,104,384615
RED,58000000,111,522523
Contagion,60000000,106,566038
"Stolen Summer",0,91,0
"The Eclipse",0,88,0
"Cats & Dogs 2 : The Revenge of Kitty Galore",85000000,82,1036585
"Oscar and Lucinda",0,132,0
"The Kids Are All Right",3500000,106,33019
"Life During Wartime",4500000,97,46392
"Princess Kaiulani",9000000,130,69231
"Love Me Tender",1000000,89,11236
"Love Ranch",0,117,0
Clean,0,111,0
"From a Whisper to a Scream",1100000,99,11111
"Super Troopers",3000000,100,30000
"Mrs. Winterbourne",25000000,105,238095
Meteor,0,107,0
"Camping Sauvage",0,80,0
"Please Give",3000000,90,33333
"Vampires Suck",20000000,82,243902
"8: The Mormon Proposition",0,80,0
Trapeze,4000000,105,38095
"I Got the Hook Up",0,93,0
"Une femme mariée: Suite de fragments d'un film tourné en 1964",120000,95,1263
Starsuckers,0,103,0
"Meet the Deedles",24000000,93,258065
"Mutual Appreciation",500000,109,4587
"Mine vaganti",7000000,110,63636
"The Green Hornet",120000000,119,1008403
50/50,8000000,100,80000
"Iraq for Sale: The War Profiteers",0,75,0
Pandaemonium,0,124,0
"Royal Kill",0,90,0
"The Business of Fancydancing",200000,103,1942
"Can't Stop the Music",0,124,0
"Little Big Top",0,0,NULL
"Perrier’s Bounty",0,88,0
"Io sono l'amore",0,120,0
"To Save A Life",0,120,0
"Men in Black 3",225000000,106,2122642
"The Switch",19000000,101,188119
"Legend of the Guardians: The Owls of Ga'Hoole",80000000,97,824742
"Step Up 3D",30000000,107,280374
"La Fille du RER",0,105,0
Faster,24000000,98,244898
Caravans,0,127,0
"Lottery Ticket",0,99,0
"Let Me In",20000000,116,172414
"Paranormal Activity 2",3000000,91,32967
"Saw 3D",20000000,90,222222
"Scream 4",40000000,111,360360
"Next Stop Wonderland",0,96,0
"The Joneses",10000000,96,104167
"The Statement",0,120,0
Sorstalanság,0,140,0
"The Smurfs",110000000,103,1067961
"Yogi Bear",80000000,80,1000000
"No Strings Attached",25000000,107,233645
"Desert Blue",0,90,0
"Due Date",65000000,95,684211
"Mo' Better Blues",10000000,129,77519
"The Party's Over",0,94,0
"Blood Done Sign My Name",0,0,NULL
"Def-Con 4",0,88,0
"Hai Marjawaan!",0,99,0
"Gabriela, Cravo e Canela",0,99,0
"Down Terrace",31192,89,350
"Never Let Me Go",15000000,104,144231
Julia,0,117,0
Burlesque,55000000,119,462185
"The Molly Maguires",11000000,124,88710
"Pink Narcissus",27000,64,422
"Darling Lili",0,107,0
"Sweet Charity",8000000,149,53691
Skyline,10000000,100,100000
"The Newton Boys",27000000,113,238938
"The City of Your Final Destination",0,114,0
"How Do You Know",120000000,121,991736
"The Virginity Hit",2000000,120,16667
Ghostbusters,144000000,116,1241379
Gunless,10000000,89,112360
"Chicago Overcoat",3200000,95,33684
"How Green Was My Valley",1250000,118,10593
"A Guy Named Joe",2627000,120,21892
"Love & Other Drugs",30000000,112,267857
"Beneath Hill 60",7347125,122,60222
Carlos,18000000,338,53254
"The Next Three Days",30000000,133,225564
"Bathing Beauty",2361000,101,23376
"Piranha 3D",24000000,88,272727
"She Done Him Wrong",200000,66,3030
"The Valley of Decision",2160000,119,18151
"The Helix... Loaded",0,97,0
"The Living Wake",0,91,0
Fabled,0,84,0
"Alexander's Ragtime Band",2000000,106,18868
"The Prisoner of Zenda",0,101,0
"The Charge of the Light Brigade",1200000,115,10435
"It's Kind of a Funny Story",8000000,101,79208
"My Soul to Take",25000000,107,233645
Monsters,500000,94,5319
"Dylan Dog: Dead of Night",20000000,107,186916
Freakonomics,3000000,93,32258
"I Spit on Your Grave",2000000,108,18519
Flipped,14000000,89,157303
"Soul Surfer",18000000,106,169811
"Another Year",8000000,129,62016
Devil,10000000,80,125000
Unstoppable,100000000,98,1020408
剑雨,12000000,117,102564
Stone,22000000,105,209524
"127 Hours",18000000,94,191489
"Wild Target",8000000,98,81633
"Black Swan",13000000,108,120370
"Lake of Fire",0,152,0
"True Grit",38000000,110,345455
"La niña santa",1400000,106,13208
"Chuck & Buck",0,96,0
三枪拍案惊奇,0,95,0
"Ed and His Dead Mother",0,93,0
"The Dilemma",70000000,111,630631
"Barry Munday",0,95,0
Hereafter,50000000,129,387597
"Woman Thou Art Loosed",3000000,94,31915
"The Tempest",20000000,110,181818
"Inside Job",2000000,109,18349
"Get Low",7500000,103,72816
Margaret,14000000,149,93960
"The Exploding Girl",0,80,0
Hugo,170000000,126,1349206
Battleship,209000000,131,1595420
Hesher,7000000,106,66038
"The Claim",0,120,0
Molly,0,102,0
一代宗師,3860000,130,29692
Rango,135000000,107,1261682
"Green Lantern",200000000,114,1754386
"Battle: Los Angeles",70000000,116,603448
"For Colored Girls",0,134,0
Trust,9500000,104,91346
"Breaking Upwards",0,88,0
"There Be Dragons",0,112,0
Super,2500000,96,26042
"Gli intoccabili",0,116,0
"Johnny Suede",500000,97,5155
"Eve's Bayou",0,109,0
"The Pursuit of D.B. Cooper",0,100,0
"The Hangover Part II",80000000,102,784314
"The King's Speech",15000000,118,127119
"Country Strong",15000000,117,128205
"The Fighter",25000000,116,215517
"Casino Jack",12500000,108,115741
疯狂的石头,0,98,0
"Machine Gun Preacher",30000000,129,232558
"Source Code",32000000,93,344086
Rubber,500000,85,5882
"The Hole",0,92,0
"Everything Must Go",5000000,97,51546
"Time Changer",0,95,0
"And When Did You Last See Your Father?",0,92,0
"The Bridge of San Luis Rey",0,120,0
Biutiful,0,148,0
"Made in Dagenham",7200000,113,63717
Trolljegeren,3500000,103,33981
Rio,90000000,96,937500
Rust,0,94,0
"The Lion of Judah",15000000,87,172414
"Don't Be Afraid of the Dark",25000000,99,252525
"Des hommes et des dieux",4000000,120,33333
"Neal 'n' Nikki",0,122,0
"The Loved Ones",0,84,0
Topsy-Turvy,0,160,0
"All Good Things",0,101,0
"The Warrior's Way",42000000,100,420000
"I Am Number Four",50000000,109,458716
"Blue Valentine",3500000,112,31250
"Speedway Junky",1000000,104,9615
"Fetching Cody",1,87,0
Incendies,6800000,130,52308
"Barney's Version",30000000,134,223881
"Tucker and Dale vs Evil",5000000,89,56180
"Eye of the Dolphin",2500000,100,25000
"Living Out Loud",12000000,100,120000
"Blue Car",1000000,92,10870
"The Extra Man",7000000,108,64815
"Drive Angry",50000000,105,476190
"Love and Death on Long Island",0,93,0
Faithful,13000000,91,142857
"Fighting Tommy Riley",0,0,NULL
"I Want Your Money",0,92,0
"Tiny Furniture",65000,99,657
"Dream with the Fishes",0,97,0
"Felicia's Journey",0,116,0
"3 Strikes",6000000,82,73171
"Ruby in Paradise",800000,114,7018
Sphinx,14000000,118,118644
"Independence Day: Resurgence",165000000,120,1375000
"Under the Rainbow",20000000,98,204082
"A Good Day to Die Hard",92000000,98,938776
"Les petits mouchoirs",25000000,154,162338
Ordet,0,126,0
Unknown,30000000,113,265487
"The Rite",37000000,114,324561
"La veuve de Saint-Pierre",0,112,0
"A Dangerous Method",15000000,99,151515
"The Debt",20000000,113,176991
Prison,1300000,102,12745
Sanctum,30000000,108,277778
"The Book of Mormon Movie, Volume 1: The Journey",2000000,120,16667
"Incident at Loch Ness",1,94,0
"Red State",4000000,88,45455
"The Mighty Macs",7000000,102,68627
"Hall Pass",36000000,105,342857
"Hobo with a Shotgun",3000000,86,34884
"Cars 2",200000000,106,1886792
"Dracula Untold",70000000,92,760870
Insidious,1500000,103,14563
Submarine,0,97,0
"Killer Elite",66000000,116,568966
"Something Borrowed",35000000,112,312500
"The Dark Knight Rises",250000000,165,1515152
"The Bourne Legacy",130000000,120,1083333
Gravity,105000000,91,1153846
Dredd,50000000,95,526316
"The Hobbit: An Unexpected Journey",250000000,169,1479290
"Maurice Richard",8000000,124,64516
"Lady in White",0,112,0
"Kung Fu Panda 2",150000000,91,1648352
"Get on the Bus",2400000,120,20000
"Warriors of Virtue",0,103,0
"Tinker Tailor Soldier Spy",30000000,127,236220
"The Croods",135000000,98,1377551
"The Change-Up",52000000,112,464286
"Man of Steel",225000000,143,1573427
R.I.P.D.,130000000,96,1354167
"Premium Rush",35000000,91,384615
"Man on a Ledge",42000000,102,411765
"John Carter",260000000,132,1969697
"In Time",40000000,109,366972
"X-Men: First Class",160000000,132,1212121
"Red Riding Hood",42000000,100,420000
"The Reef",0,94,0
"The Nutcracker: The Untold Story",90000000,110,818182
"Fantasia 2000",80000000,74,1081081
"The Roommate",16000000,91,175824
"Certifiably Jonathan",1200000,85,14118
"Sammy's avonturen: De geheime doorgang",0,88,0
"Walking and Talking",0,86,0
"The Help",25000000,146,171233
"Lovely & Amazing",250000,91,2747
"Beyond the Black Rainbow",1100000,110,10000
"Konferenz der Tiere",0,93,0
"Mars Needs Moms",150000000,88,1704545
"The Lincoln Lawyer",40000000,119,336134
"Apollo 18",5000000,86,58140
Hop,63000000,95,663158
Hanna,30000000,111,270270
"When the Lights Went Out",0,86,0
"Sur le seuil",0,100,0
"Friends with Benefits",35000000,109,321101
"Just Go with It",80000000,117,683761
"5 Days of War",20000000,113,176991
"The Twilight Saga: Breaking Dawn - Part 2",120000000,115,1043478
"Crazy, Stupid, Love.",50000000,118,423729
Wanderlust,35000000,98,357143
"Grave Encounters",1000000,92,10870
"Take Me Home Tonight",19000000,97,195876
"The Beaver",21000000,91,230769
"Martha Marcy May Marlene",0,101,0
"Margin Call",3500000,107,32710
"Le Nom des gens",4600000,100,46000
"Higher Ground",2000000,109,18349
Creature,0,176,0
"Arthur Christmas",0,97,0
"Open Secret",0,68,0
"Winnie the Pooh",30000000,63,476190
"Lovely, Still",0,92,0
"Fast Five",125000000,130,961538
"Horrible Bosses",35000000,98,357143
Prom,8000000,104,76923
"The Salon",1500000,0,NULL
"One Day",15000000,107,140187
"I Married a Strange Person!",250,72,3
"Hav Plenty",0,92,0
"Salvation Boulevard",8000000,96,83333
"Ultramarines: A Warhammer 40,000 Movie",0,76,0
"Stake Land",650000,98,6633
"My Dog Tulip",0,83,0
"Cedar Rapids",0,87,0
"Bad Teacher",20000000,92,217391
"The Three Musketeers",75000000,110,681818
"The Pet",0,94,0
"Underworld: Awakening",70000000,88,795455
"The Basket",0,105,0
"One True Thing",0,127,0
"300: Rise of an Empire",110000000,102,1078431
Drei,0,119,0
"Elle s'appelait Sarah",10000000,111,90090
"The Dead Undead",0,90,0
Trippin',0,94,0
"The Tooth Fairy",0,0,NULL
"One for the Money",40000000,91,439560
"Star Trek Into Darkness",190000000,132,1439394
"Justin Bieber: Never Say Never",13000000,105,123810
"Los lunes al sol",4000000,113,35398
Malevolence,450000,90,5000
"The Grace Card",200000,101,1980
Tumbleweeds,312000,102,3059
"The Last Big Thing",0,98,0
"Alvin and the Chipmunks: Chipwrecked",75000000,87,862069
"Ulee's Gold",0,112,0
Beginners,3200000,105,30476
"Another Earth",100000,92,1087
"A Very Harold & Kumar Christmas",19000000,108,175926
Clockwatchers,0,96,0
"Standing Ovation",0,105,0
"Boom Town",2000000,119,16807
"Dracula: Pages from a Virgin's Diary",1596010,75,21280
"A Better Life",10000000,98,102041
Bridesmaids,32500000,125,260000
"Final Destination 5",47000000,92,510870
"Water for Elephants",38000000,120,316667
"Boynton Beach Club",0,105,0
"Betty Fisher et autres histoires",0,103,0
"Spy Kids: All the Time in the World",27000000,89,303371
"Mission: Impossible - Ghost Protocol",145000000,133,1090226
"In Her Line of Fire",0,88,0
"The Perfect Game",12500000,118,105932
Fiza,1000000,170,5882
"Just Visiting",0,88,0
Tycoon,0,128,0
"Sunshine State",0,141,0
"Hoodwinked Too! Hood VS. Evil",30000000,86,348837
"Jumping the Broom",6600000,112,58929
"Meek's Cutoff",0,104,0
"Young Adult",12000000,94,127660
"The Hobbit: The Desolation of Smaug",250000000,161,1552795
"Wrath of the Titans",150000000,99,1515152
"The Lone Ranger",255000000,149,1711409
"War Horse",66000000,146,452055
"Project X",12000000,88,136364
"Crying with Laughter",0,93,0
"The Sitter",25000000,81,308642
"Dolphins and Whales: Tribes of the Ocean",6000000,42,142857
"Ice Age: Continental Drift",95000000,88,1079545
"Bride & Prejudice",7000000,111,63063
"Area 51",5000000,91,54945
"The Love Letter",0,98,0
"Shanghai Surprise",17000000,97,175258
Housefull,0,135,0
"Fright Night",17000000,106,160377
"Mr. Popper's Penguins",55000000,94,585106
"Johnny English Reborn",45000000,101,445545
"The Innkeepers",750000,102,7353
"Pride and Prejudice and Zombies",28000000,108,259259
"The Greatest Movie Ever Sold",0,87,0
"Sherlock Holmes: A Game of Shadows",125000000,129,968992
"Snow White and the Huntsman",170000000,127,1338583
"The Hit List",6000000,90,66667
Woo,13000000,84,154762
"Snow Flower and the Secret Fan",134005,104,1289
"Tower Heist",75000000,104,721154
"Midnight in Paris",30000000,94,319149
Warrior,25000000,140,178571
Womb,3100000,111,27928
"Attack the Block",14350531,88,163074
"The 5th Quarter",6000000,97,61856
"Kick-Ass 2",28000000,103,271845
"Monte Carlo",20000000,109,183486
"Larry Crowne",30000000,98,306122
"Cotton Comes to Harlem",1200000,97,12371
"The Inkwell",0,110,0
"Safe House",85000000,115,739130
"This Means War",65000000,103,631068
Abduction,35000000,106,330189
Looper,30000000,118,254237
"Our Idiot Brother",10000000,90,111111
"Legends of Oz: Dorothy's Return",70000000,88,795455
"جدایی نادر از سیمین",800000,123,6504
"Hansel & Gretel: Witch Hunters",50000000,88,568182
"Diary of a Wimpy Kid: Rodrick Rules",21000000,99,212121
Moneyball,50000000,133,375940
"The Conspirator",25000000,122,204918
"The Blue Bird",0,88,0
"Like Crazy",250000,90,2778
Circumstance,0,107,0
"Another Happy Day",4000000,119,33613
"Sunday School Musical",0,93,0
Arbitrage,12000000,100,120000
"Silent Hill: Revelation 3D",20000000,94,212766
"Go for It!",2450000,105,23333
"Critical Care",0,107,0
"Girl 6",12000000,108,111111
"Rise of the Planet of the Apes",93000000,105,885714
Anonymous,30000000,130,230769
"Space Battleship Yamato",12000000,131,91603
"Good Deeds",0,111,0
"Nannerl, la soeur de Mozart",0,120,0
Brave,185000000,93,1989247
"La Guerre du feu",12000000,100,120000
"30 Minutes or Less",28000000,83,337349
"Monsters University",200000000,104,1923077
"Dark Shadows",150000000,113,1327434
Frankenweenie,39000000,87,448276
Melancholia,7400000,136,54412
Tracker,6500000,102,63725
"Guiana 1838",0,120,0
"The Devil's Double",19100000,109,175229
Limbo,8000000,126,63492
Songcatcher,0,109,0
"Brighton Rock",0,111,0
"Mirror Mirror",85000000,106,801887
Colombiana,40000000,108,370370
"Dolphin Tale",37000000,113,327434
"New Year's Eve",56000000,118,474576
"Dum Maaro Dum",0,130,0
"The Perez Family",11000000,113,97345
"The Poker House",0,93,0
"What's Your Number?",20000000,106,188679
"Joyful Noise",0,117,0
"The Muppets",45000000,103,436893
Quinceañera,0,90,0
"Rien ne va plus",0,105,0
"Straw Dogs",25000000,110,227273
"The Art of Getting By",0,83,0
"The Great Gatsby",105000000,143,734266
"Extremely Loud & Incredibly Close",40000000,129,310078
"47 Ronin",175000000,119,1470588
"21 Jump Street",42000000,109,385321
"Killing Them Softly",15000000,97,154639
Drive,15000000,100,150000
"Take Shelter",5000000,120,41667
"Grudge Match",40000000,113,353982
"Peace, Propaganda & the Promised Land",0,80,0
"Shark Night",28000000,91,307692
"The Descendants",20000000,115,173913
"The Woman in Black",17000000,95,178947
"The Broadway Melody",379000,100,3790
Penitentiary,0,99,0
"Tango, no me dejes nunca",0,115,0
"The Girl with the Dragon Tattoo",90000000,158,569620
"Happy Feet Two",130000000,100,1300000
Mooz-lum,0,95,0
"Red Dog",0,92,0
"The Perfect Host",0,93,0
N-Secure,0,0,NULL
"Salvando al Soldado Perez",0,105,0
"Beat the World",10000000,91,109890
"Griff the Invisible",2902660,93,31211
Cavite,0,80,0
"This Thing of Ours",0,100,0
"Think Like a Man",12000000,122,98361
"Glee: The Concert Movie",9000000,84,107143
"Bucky Larson: Born to Be a Star",10000000,97,103093
"The Guard",6000000,96,62500
"Escape from Planet Earth",40000000,89,449438
"Without Men",4,83,0
"3 Backyards",0,88,0
Detention,10000000,93,107527
"Django Unchained",100000000,165,606061
"Iron Man 3",200000000,130,1538462
"The Master",32000000,137,233577
Elysium,115000000,109,1055046
"Pacific Rim",180000000,131,1374046
Trance,20000000,101,198020
"Oz: The Great and Powerful",200000000,130,1538462
Argo,44500000,120,370833
Warcraft,160000000,123,1300813
"Seventh Son",95000000,102,931373
"The Iceman",20000000,105,190476
Blackthorn,0,98,0
"The Ice Storm",18000000,112,160714
"Super Hybrid",13000000,95,136842
"The Legend of God's Gun",0,78,0
"Lies in Plain Sight",0,88,0
"Dream House",50000000,84,595238
"One Man's Hero",0,121,0
"Never Back Down 2: The Beatdown",3000000,90,33333
"Bullet to the Head",55000000,92,597826
"The Hunger Games",75000000,142,528169
Haywire,23000000,93,247312
"The Raven",26000000,111,234234
"The Stewardesses",100000,69,1449
Hodejegerne,0,100,0
"The Sticky Fingers of Time",250000,90,2778
"The Last Godfather",13400000,100,134000
"I Don't Know How She Does It",24000000,89,269663
"The Harvest (La Cosecha)",56000,80,700
Prometheus,130000000,124,1048387
Polisse,0,127,0
"The Darkest Hour",30000000,89,337079
Fascination,0,95,0
"American Reunion",50000000,113,442478
"Ghost Rider: Spirit of Vengeance",57000000,95,600000
"Resident Evil: Retribution",65000000,95,684211
"The Iron Lady",13000000,105,123810
"Håkon Håkonsen",0,92,0
"We Need to Talk About Kevin",7000000,112,62500
"The Odd Life of Timothy Green",0,105,0
"Tanner Hall",0,96,0
"Jack and Jill",79000000,91,868132
"The Night Visitor",0,106,0
Ted,50000000,106,471698
Carnage,25000000,80,312500
"World War Z",200000000,116,1724138
"The Pirates! In an Adventure with Scientists!",60000000,88,681818
"The Five-Year Engagement",30000000,124,241935
Courageous,1000000,129,7752
"Abraham Lincoln: Vampire Hunter",69000000,94,734043
"A Thousand Words",40000000,91,439560
Peeples,15,95,0
Safe,30000000,94,319149
"Red Tails",58000000,125,464000
"Journey 2: The Mysterious Island",79000000,94,840426
"G.I. Joe: Retaliation",130000000,110,1181818
"The Vow",30000000,104,288462
"Paranormal Activity 3",5000000,83,60241
"The Host",44000000,125,352000
Newlyweds,9000,85,106
Amigo,1200000,128,9375
"Fat, Sick & Nearly Dead",0,97,0
Lincoln,65000000,149,436242
"The Nutcracker",19000000,93,204301
Heartbeeps,10000000,79,126582
"The Californians",0,91,0
"Le Havre",3850000,93,41398
"Killer Joe",10000000,102,98039
"Albert Nobbs",8000000,113,70796
Vamps,16000000,93,172043
"The Big Year",41000000,100,410000
"Ayurveda: Art of Being",300000,101,2970
"दिल जो भी कहे",0,0,NULL
"Redemption Road",0,91,0
"We Bought a Zoo",50000000,124,403226
"Kevin Hart: Laugh at My Pain",0,89,0
"The Best Exotic Marigold Hotel",10000000,124,80645
"The Son of No One",15000000,90,166667
"The Artist",15000000,100,150000
"Kill List",500000,95,5263
Absentia,70000,92,761
"Winnie Mandela",15000000,107,140187
"The Grey",25000000,117,213675
"Isn't She Great",36000000,95,378947
Oblivion,120000000,124,967742
"Red Lights",14000000,119,117647
"Now You See Me",75000000,115,652174
"Act of Valor",12000000,110,109091
"Jack Reacher",60000000,130,461538
"To Write Love on Her Arms",3400000,118,28814
"My Week with Marilyn",6400000,99,64646
"Love Letters",550000,98,5612
Shame,6500000,100,65000
"The Expendables 2",100000000,103,970874
"The Wolverine",120000000,126,952381
"12 Years a Slave",20000000,134,149254
"Percy Jackson: Sea of Monsters",90000000,106,849057
"Thor: The Dark World",170000000,112,1517857
"Mad Max: Fury Road",150000000,120,1250000
辛亥革命,30000000,125,240000
"The Devil Inside",1000000,83,12048
"The Three Stooges",30000000,92,326087
"Hotel Transylvania",85000000,91,934066
"The Dictator",65000000,83,783133
"What to Expect When You're Expecting",40000000,110,363636
"Texas Chainsaw 3D",20000000,92,217391
"The Last Stand",30000000,107,280374
Pompeii,130000000,105,1238095
"Christmas Mail",0,89,0
Chronicle,15000000,84,178571
"Jupiter Ascending",176000003,124,1419355
金陵十三釵,94000000,145,648276
"Love and Other Catastrophes",0,78,0
"End of Watch",7000000,109,64220
"Alien Zone",0,90,0
ParaNorman,60000000,90,666667
Urbania,0,103,0
"Un monstre à Paris",25000000,90,277778
"Mientras duermes",5000000,107,46729
Contraband,25000000,109,229358
"Playing for Keeps",35000000,106,330189
"The Lucky One",25000000,101,247525
"The Possession",14000000,92,152174
"Magic Mike",7000000,110,63636
"The Smurfs 2",105000000,105,1000000
"The Christmas Bunny",250000,96,2604
"The Cold Light of Day",20000000,93,215054
"The Awakening",4798235,107,44843
Turbo,135000000,96,1406250
"Walking With Dinosaurs",80000000,87,919540
"The Campaign",0,85,0
"Only God Forgives",4800000,90,53333
"An Alan Smithee Film: Burn, Hollywood, Burn",10000000,86,116279
"On the Outs",0,86,0
"Dancer, Texas Pop. 81",0,97,0
Twixt,7000000,84,83333
"Nurse 3-D",10,99,0
"Sea Rex 3D: Journey to a Prehistoric World",5000000,41,121951
"Big Miracle",40000000,107,373832
"Cama adentro",0,83,0
"We Have Your Husband",0,89,0
Weekend,8000,96,83
"51 Birch Street",0,90,0
"Devil's Due",7000000,89,78652
"Four Single Fathers",3,100,0
"The Apparition",17000000,82,207317
"The Lovers",27000000,109,247706
"In the Land of Blood and Honey",10000000,127,78740
"Tim and Eric's Billion Dollar Movie",0,94,0
"The Watch",68000000,98,693878
"Indie Game: The Movie",0,96,0
LOL,11000000,97,113402
"Ender's Game",110000000,114,964912
"Lo imposible",42000000,113,371681
"Casa De Mi Padre",0,84,0
"Madagascar 3: Europe's Most Wanted",145000000,93,1559140
"Some Guy Who Kills People",300000,97,3093
"Rock of Ages",75000000,123,609756
"Jack the Giant Slayer",195000000,114,1710526
"Rise of the Guardians",145000000,97,1494845
"Everything Put Together",500000,87,5747
"A Lonely Place to Die",4000000,99,40404
Lockout,20000000,95,210526
"To Rome with Love",17000000,111,153153
"House at the End of the Street",6900000,101,68317
Sinister,3000000,110,27273
Savages,45000000,131,343511
"Jeff, Who Lives at Home",10000000,83,120482
"Damsels in Distress",0,99,0
"Won't Back Down",0,121,0
"Diary of a Wimpy Kid: Dog Days",22000000,94,234043
"Warm Bodies",35000000,97,360825
"Taken 2",45000000,91,494505
"Fun Size",14000000,87,160920
"Gangster Squad",60000000,113,530973
"Chasing Mavericks",0,117,0
"The Guilt Trip",40000000,95,421053
"Wreck-It Ralph",165000000,108,1527778
"Silver Linings Playbook",21000000,122,172131
"Les Misérables",61000000,157,388535
"Hope Springs",30000000,100,300000
"After Earth",130000000,100,1300000
"How to Train Your Dragon 2",145000000,102,1421569
"Mr. Peabody & Sherman",145000000,92,1576087
"Paranormal Activity 4",5000000,95,52632
"Cloud Atlas",102000000,172,593023
"Middle of Nowhere",0,101,0
"Moonrise Kingdom",16000000,94,170213
"The Words",6000000,96,62500
"On the Road",25000000,137,182482
"October Baby",0,107,0
Bachelorette,3000000,87,34483
"Beasts of the Southern Wild",1800000,93,19355
"Black Rock",0,83,0
"Celeste & Jesse Forever",0,91,0
Compliance,0,90,0
"Filly Brown",0,100,0
"For a Good Time, Call...",850000,85,10000
Grabbers,0,94,0
"Kita svajonių komanda",0,89,0
"Robot & Frank",2500000,85,29412
"Safety Not Guaranteed",750000,85,8824
"Your Sister's Sister",125000,90,1389
"Sholem Aleichem: Laughing In The Darkness",500000,93,5376
"The Naked Ape",0,110,0
"The Perks of Being a Wallflower",13000000,102,127451
Boyhood,4000000,164,24390
"Step Up Revolution",33000000,99,333333
"The FP",0,82,0
"All Superheroes Must Die",0,78,0
Q,1344000,103,13049
August,0,100,0
"Sound of My Voice",0,85,0
Stoker,12000000,99,121212
"Inside Llewyn Davis",11000000,105,104762
Noah,125000000,139,899281
Amour,8900000,127,70079
"Seven Psychopaths",15000000,110,136364
"Big Eyes",10000000,105,95238
"Terminator Genisys",155000000,126,1230159
Riddick,38000000,119,319328
